Designator,Mid X,Mid Y,Rotation,Layer
D1,79.657394,-91.81211,90.0,bottom
D10,269.740363,-94.347234,78.0,bottom
D11,288.365363,-89.737234,78.0,bottom
D12,310.112507,-90.288976,90.0,bottom
D13,329.212394,-91.81211,90.0,bottom
D14,367.312394,-91.81211,90.0,bottom
D15,86.007394,-110.86211,90.0,bottom
D16,105.692394,-110.86211,90.0,bottom
D17,126.647394,-114.67211,102.0,bottom
D18,145.062394,-118.48211,102.0,bottom
D19,163.612762,-122.46557,102.0,bottom
D2,98.707394,-91.81211,90.0,bottom
D20,182.505619,-126.192312,102.0,bottom
D21,230.130619,-122.382312,78.0,bottom
D22,248.686354,-117.849263,78.0,bottom
D23,267.444211,-113.956005,78.0,bottom
D24,285.844211,-109.806005,78.0,bottom
D25,307.294211,-109.556005,90.0,bottom
D26,326.494211,-110.916005,90.0,bottom
D27,345.544211,-110.816005,90.0,bottom
D28,374.144211,-110.846005,90.0,bottom
D29,86.344211,-129.756005,90.0,bottom
D3,117.747189,-90.41511,90.0,bottom
D30,105.344211,-129.856005,90.0,bottom
D31,126.236354,-133.929263,102.0,bottom
D32,144.886354,-138.029263,102.0,bottom
D33,163.344211,-141.806005,102.0,bottom
D34,181.994211,-145.756005,102.0,bottom
D35,235.294211,-140.656005,78.0,bottom
D36,253.944211,-136.556005,78.0,bottom
D37,272.594211,-132.656005,78.0,bottom
D38,291.094211,-128.506005,78.0,bottom
D39,313.444211,-129.956005,90.0,bottom
D4,137.750255,-97.391656,102.0,bottom
D40,332.444211,-129.906005,90.0,bottom
D41,375.294211,-129.956005,90.0,bottom
D42,87.36,-149.06,90.0,bottom
D43,106.36,-148.92,90.0,bottom
D44,127.167856,-153.886743,102.0,bottom
D45,145.817856,-157.886743,102.0,bottom
D46,164.367856,-161.836743,102.0,bottom
D47,183.017856,-165.836743,102.0,bottom
D48,231.652143,-161.086743,78.0,bottom
D49,250.36,-156.96,78.0,bottom
D5,156.70525,-101.823853,102.0,bottom
D50,268.96,-152.91,78.0,bottom
D51,287.552143,-149.036743,78.0,bottom
D52,309.06,-149.02,90.0,bottom
D53,328.11,-149.17,90.0,bottom
D54,380.46,-149.17,90.0,bottom
D55,72.96,-168.11,90.0,bottom
D56,101.46,-168.07,90.0,bottom
D57,162.86,-181.11,102.0,bottom
D58,186.11,-185.91,102.0,bottom
D59,272.81,-171.86,78.0,bottom
D6,175.018249,-105.316086,102.0,bottom
D60,323.26,-168.31,90.0,bottom
D61,351.86,-168.22,90.0,bottom
D62,380.46,-168.12,90.0,bottom
D7,193.677975,-109.299073,102.0,bottom
D8,232.504446,-101.722952,78.0,bottom
D9,251.138158,-98.397234,78.0,bottom
S1,70.132394,-93.08211,0.0,top
S10,260.86601,-97.141191,12.0,top
S11,279.49101,-93.166191,12.0,top
S12,300.66,-91.71,0.0,top
S13,319.687394,-93.08211,0.0,top
S14,348.262394,-93.95206,0.0,top
S15,72.037394,-112.13211,0.0,top
S16,95.786394,-112.13211,0.0,top
S17,116.979404,-113.615918,348.0,top
S18,135.648404,-117.653809,348.0,top
S19,154.317404,-121.616918,348.0,top
S2,89.182394,-93.08211,0.0,top
S20,172.986404,-125.553918,348.0,top
S21,221.057714,-125.25322,12.0,top
S22,239.809016,-121.161196,12.0,top
S23,258.434099,-117.127608,12.0,top
S24,277.02899,-113.253809,12.0,top
S25,297.86,-110.79,0.0,top
S26,316.98,-112.11,0.0,top
S27,335.98,-112.11,0.0,top
S28,359.86,-112.11,0.0,top
S29,69.64468,-131.086105,0.0,top
S3,108.222189,-91.68511,0.0,top
S30,95.78,-131.11,0.0,top
S31,116.66,-133.11,348.0,top
S32,135.29101,-137.053809,348.0,top
S33,153.858647,-140.986638,348.0,top
S34,172.46,-144.91,348.0,top
S35,226.169676,-143.694704,12.0,top
S36,244.82899,-139.653809,12.0,top
S37,263.46,-135.689969,12.0,top
S38,282.06,-131.71,12.0,top
S39,303.92,-131.19,0.0,top
S4,128.419609,-96.540613,348.0,top
S40,322.98,-131.19,0.0,top
S41,353.87,-132.11995,0.0,top
S42,65.92,-151.05995,0.0,top
S43,96.86,-150.19,0.0,top
S44,117.66,-152.91,348.0,top
S45,136.29101,-156.853809,348.0,top
S46,154.86,-160.71,348.0,top
S47,173.49101,-164.653809,348.0,top
S48,222.49101,-163.966191,12.0,top
S49,241.231696,-160.007086,12.0,top
S5,147.053891,-100.504325,348.0,top
S50,259.89101,-155.966191,12.0,top
S51,278.49101,-151.966191,12.0,top
S52,299.46,-150.31,0.0,top
S53,318.58,-150.31,0.0,top
S54,354.26,-151.17995,0.0,top
S55,58.66,-169.31,0.0,top
S56,87.18,-169.31,0.0,top
S57,136.693026,-177.366073,348.0,top
S58,174.29101,-184.350894,348.0,top
S59,245.426974,-179.566073,12.0,top
S6,165.718891,-104.479325,348.0,top
S60,313.72,-169.39,0.0,top
S61,337.52,-169.39,0.0,top
S62,366.18,-169.39,0.0,top
S7,184.347329,-108.44803,348.0,top
S8,223.638805,-105.166191,12.0,top
S9,242.24101,-101.116191,12.0,top
U2,204.024211,-80.940755,270.0,top
